Open,High,Low,Close,Traded Volume,high_low
34.99,35.94,34.99,35.8,44700.0,0.9499999999999957
35.9,35.93,35.34,35.48,70618.0,0.5899999999999963
35.48,35.51,34.75,35.19,54408.0,0.759999999999998
35.02,35.2,34.73,35.06,48412.0,0.47000000000000597
34.91,35.21,34.91,35.04,27507.0,0.30000000000000426
35.29,35.35,34.43,34.67,62225.0,0.9200000000000017
34.8,34.98,34.46,34.91,43976.0,0.519999999999996
34.95,36.0,34.84,35.42,123530.0,1.1599999999999966
35.38,35.38,34.31,34.9,163860.0,1.0700000000000003
34.98,34.98,34.6,34.85,59367.0,0.37999999999999545
34.85,35.24,34.56,35.07,47879.0,0.6799999999999997
35.06,35.19,34.79,34.99,39195.0,0.3999999999999986
35.04,35.51,34.8,34.9,65931.0,0.7100000000000009
35.04,35.04,34.42,34.5,73105.0,0.6199999999999974
34.54,34.59,34.05,34.17,80246.0,0.5400000000000063
34.04,34.12,33.62,34.06,55333.0,0.5
34.0,34.35,33.85,34.22,48797.0,0.5
34.42,34.86,34.03,34.83,56240.0,0.8299999999999983
35.07,35.58,34.8,34.89,64103.0,0.7800000000000011
34.83,35.43,34.81,35.3,69657.0,0.6199999999999974
35.38,35.59,34.95,35.15,69603.0,0.6400000000000006
35.24,35.24,34.56,34.56,63371.0,0.6799999999999997
34.75,36.0,34.75,35.94,85137.0,1.25
35.95,36.2,35.7,36.07,54279.0,0.5
36.02,36.2,35.73,36.1,40705.0,0.47000000000000597
36.06,36.15,35.6,35.64,41911.0,0.5499999999999972
35.56,36.05,35.36,35.89,67410.0,0.6899999999999977
35.98,36.14,35.84,36.05,39731.0,0.29999999999999716
36.2,36.25,35.77,36.25,67781.0,0.4799999999999969
36.65,37.5,36.57,37.06,115843.0,0.9299999999999997
37.37,39.36,37.35,38.53,177171.0,2.009999999999998
38.81,38.86,38.0,38.37,82601.0,0.8599999999999994
38.5,38.93,38.4,38.72,77420.0,0.5300000000000011
38.8,39.2,38.25,38.71,84682.0,0.9500000000000028
38.8,39.03,38.48,39.02,60583.0,0.5500000000000043
39.25,39.25,38.81,38.98,37014.0,0.4399999999999977
38.85,39.57,38.85,39.45,46070.0,0.7199999999999989
39.6,39.75,39.27,39.7,77619.0,0.4799999999999969
39.72,39.98,39.38,39.79,81945.0,0.5999999999999943
39.77,40.14,38.91,39.74,101294.0,1.230000000000004
39.75,40.64,39.75,40.39,62655.0,0.8900000000000006
40.38,40.95,40.38,40.84,67440.0,0.5700000000000003
41.19,41.57,40.9,41.2,86753.0,0.6700000000000017
41.38,41.39,40.76,41.17,49863.0,0.6300000000000026
41.12,41.22,40.84,41.18,40800.0,0.37999999999999545
41.25,41.4,40.81,41.4,46510.0,0.5899999999999963
41.5,41.8,41.25,41.42,61925.0,0.5499999999999972
41.13,41.71,40.95,41.68,45111.0,0.759999999999998
41.61,41.61,41.16,41.4,43988.0,0.45000000000000284
41.53,41.53,41.16,41.4,38518.0,0.37000000000000455
41.4,41.46,41.08,41.3,44803.0,0.38000000000000256
41.2,41.5,41.2,41.3,60420.0,0.29999999999999716
41.4,41.5,40.91,41.25,60324.0,0.5900000000000034
41.4,41.57,41.09,41.46,55799.0,0.4799999999999969
41.47,41.59,41.16,41.34,90109.0,0.4300000000000068
41.26,42.17,41.26,41.97,97572.0,0.9100000000000037
41.8,41.83,40.97,40.98,56906.0,0.8599999999999994
38.25,39.02,37.53,38.94,670349.0,1.490000000000002
39.01,39.25,38.63,38.96,169971.0,0.6199999999999974
38.94,39.02,38.6,38.94,210926.0,0.4200000000000017
38.73,39.1,38.53,38.85,191515.0,0.5700000000000003
38.95,39.35,38.79,39.22,115075.0,0.5600000000000023
39.39,40.01,39.05,40.01,335406.0,0.9600000000000009
40.02,40.14,39.42,39.75,189201.0,0.7199999999999989
39.77,40.07,39.42,39.98,95382.0,0.6499999999999986
40.15,40.15,39.54,39.64,127973.0,0.6099999999999994
39.5,40.88,39.48,40.81,193156.0,1.4000000000000057
41.1,41.34,40.79,41.1,156005.0,0.5500000000000043
40.96,41.25,40.83,41.05,96794.0,0.4200000000000017
40.9,41.42,40.84,41.42,81255.0,0.5799999999999983
41.46,41.68,41.31,41.68,62297.0,0.36999999999999744
41.62,42.03,41.53,41.75,107817.0,0.5
42.02,42.45,41.84,42.2,158278.0,0.6099999999999994
42.06,42.48,41.99,42.2,88416.0,0.4899999999999949
42.24,42.4,41.54,42.0,133057.0,0.8599999999999994
41.94,42.61,41.94,42.61,92722.0,0.6700000000000017
42.5,42.64,41.52,41.93,223621.0,1.1199999999999974
41.97,42.14,41.01,41.32,186784.0,1.1300000000000026
42.01,42.02,41.23,41.81,102084.0,0.7900000000000063
41.93,42.18,41.66,41.89,85973.0,0.5200000000000031
41.88,41.94,41.4,41.5,65847.0,0.5399999999999991
41.51,42.24,41.51,42.16,151683.0,0.730000000000004
42.17,42.25,41.66,41.72,86348.0,0.5900000000000034
41.89,42.23,41.76,42.15,86559.0,0.46999999999999886
42.2,42.29,41.78,41.9,65266.0,0.509999999999998
41.86,42.5,41.71,42.5,82058.0,0.7899999999999991
42.52,42.91,42.38,42.75,78512.0,0.529999999999994
43.0,43.0,42.04,42.24,97456.0,0.9600000000000009
41.83,43.55,41.82,43.3,151439.0,1.7299999999999969
43.5,43.6,42.53,43.28,91858.0,1.0700000000000003
43.4,46.06,43.25,45.0,189125.0,2.8100000000000023
45.18,45.18,44.16,44.99,159495.0,1.0200000000000031
45.09,45.78,44.31,45.14,193702.0,1.4699999999999989
45.15,45.36,44.56,45.31,101476.0,0.7999999999999972
45.06,45.34,44.01,44.19,149515.0,1.3300000000000054
44.0,44.3,43.29,43.98,166160.0,1.009999999999998
43.74,44.12,43.74,44.12,45.0,0.37999999999999545
44.16,44.22,43.44,43.84,70856.0,0.7800000000000011
43.67,44.13,43.55,43.9,38308.0,0.5800000000000054
43.92,44.67,43.92,44.53,111923.0,0.75
44.8,44.87,44.29,44.78,49970.0,0.5799999999999983
44.8,45.36,44.71,45.3,74453.0,0.6499999999999986
45.61,45.61,45.24,45.32,112.0,0.36999999999999744
45.05,46.02,45.05,46.02,587.0,0.970000000000006
45.22,46.26,45.22,45.86,522.0,1.0399999999999991
46.12,46.52,45.89,46.52,106513.0,0.6300000000000026
46.8,46.99,46.72,46.99,290.0,0.2700000000000031
47.12,47.45,46.21,47.43,686.0,1.240000000000002
47.01,47.43,47.01,47.43,1081.0,0.4200000000000017
47.8,47.8,46.27,46.27,1945.0,1.529999999999994
46.77,47.44,46.55,47.44,99674.0,0.8900000000000006
47.31,47.43,45.89,46.31,112942.0,1.5399999999999991
46.5,46.51,46.03,46.32,107644.0,0.4799999999999969
46.52,46.86,46.05,46.33,83741.0,0.8100000000000023
46.34,46.34,45.21,45.67,101733.0,1.1300000000000026
45.66,46.8,45.66,46.63,202214.0,1.1400000000000006
46.9,46.9,46.25,46.64,70056.0,0.6499999999999986
46.48,47.43,46.27,47.37,108334.0,1.1599999999999966
47.46,47.48,46.53,46.99,89752.0,0.9499999999999957
47.03,47.4,46.75,47.29,56071.0,0.6499999999999986
47.29,47.4,46.79,46.99,80586.0,0.6099999999999994
46.95,47.63,46.91,47.21,73322.0,0.720000000000006
47.23,47.33,46.39,46.83,82492.0,0.9399999999999977
46.68,46.68,45.41,45.68,117165.0,1.2700000000000031
45.73,45.81,45.11,45.2,134965.0,0.7000000000000028
45.01,45.74,45.0,45.44,136112.0,0.740000000000002
45.29,45.83,45.06,45.75,71381.0,0.769999999999996
45.83,45.83,44.74,44.8,50549.0,1.0899999999999963
44.67,45.36,44.44,45.19,48706.0,0.9200000000000017
45.5,45.5,44.15,44.62,66116.0,1.3500000000000014
44.79,44.79,44.25,44.53,47999.0,0.5399999999999991
44.64,45.18,44.51,44.7,71868.0,0.6700000000000017
44.94,44.94,44.08,44.2,90538.0,0.8599999999999994
44.29,45.05,43.89,44.95,115705.0,1.1599999999999966
44.67,45.18,44.67,44.95,82745.0,0.509999999999998
45.07,45.56,44.83,45.53,67375.0,0.730000000000004
45.6,46.23,45.29,45.6,104995.0,0.9399999999999977
45.5,45.55,44.7,45.0,104003.0,0.8499999999999943
45.06,45.72,44.94,45.57,71971.0,0.7800000000000011
45.74,45.96,45.23,45.66,87399.0,0.730000000000004
45.57,45.88,45.04,45.44,73422.0,0.8400000000000034
45.31,45.31,44.49,44.61,104282.0,0.8200000000000003
44.7,45.04,44.63,44.82,112224.0,0.4099999999999966
44.91,45.33,44.46,45.16,81970.0,0.8699999999999974
45.16,45.45,45.15,45.25,50557.0,0.30000000000000426
45.26,45.29,44.75,44.97,114006.0,0.5399999999999991
44.94,45.75,44.94,45.3,62672.0,0.8100000000000023
45.24,45.54,45.1,45.45,74975.0,0.4399999999999977
45.25,45.77,44.9,45.56,187468.0,0.8700000000000045
45.34,45.54,44.91,44.97,77854.0,0.6300000000000026
45.13,45.13,44.36,45.07,96202.0,0.7700000000000031
45.85,46.34,44.02,44.96,164543.0,2.3200000000000003
44.9,45.09,44.15,44.37,156168.0,0.9400000000000048
43.5,43.5,41.64,41.81,355857.0,1.8599999999999994
41.73,41.99,41.14,41.68,175161.0,0.8500000000000014
41.3,41.94,40.96,41.94,183412.0,0.9799999999999969
42.12,42.69,42.01,42.3,127682.0,0.6799999999999997
42.53,42.53,42.2,42.28,64334.0,0.3299999999999983
42.4,42.62,41.98,42.05,104676.0,0.6400000000000006
41.88,43.01,41.76,42.5,131361.0,1.25
42.28,42.6,42.01,42.41,72886.0,0.5900000000000034
42.42,42.76,42.2,42.26,68812.0,0.5599999999999952
42.46,42.96,42.4,42.71,95376.0,0.5600000000000023
42.82,43.17,42.6,42.71,70269.0,0.5700000000000003
42.72,43.05,42.63,42.69,65213.0,0.4199999999999946
42.64,42.64,42.05,42.14,69734.0,0.5900000000000034
42.11,42.25,41.86,41.91,47130.0,0.39000000000000057
41.71,41.98,41.33,41.85,98156.0,0.6499999999999986
42.0,42.2,41.49,41.94,97804.0,0.7100000000000009
42.0,42.08,41.12,41.9,157888.0,0.9600000000000009
42.16,43.06,42.07,42.41,151474.0,0.990000000000002
42.38,42.75,41.95,42.6,105288.0,0.7999999999999972
43.0,43.19,42.55,42.62,66351.0,0.6400000000000006
42.66,42.71,42.34,42.55,71006.0,0.36999999999999744
43.0,43.02,42.67,42.77,64320.0,0.3500000000000014
42.7,42.75,42.56,42.67,59881.0,0.18999999999999773
42.81,42.89,42.56,42.85,103273.0,0.3299999999999983
43.21,43.34,42.62,42.73,52828.0,0.720000000000006
42.49,42.69,42.22,42.45,68801.0,0.46999999999999886
42.35,42.8,42.35,42.52,65157.0,0.44999999999999574
42.29,42.81,42.25,42.42,107144.0,0.5600000000000023
42.5,42.63,42.23,42.27,44037.0,0.4000000000000057
42.65,42.65,42.13,42.44,65546.0,0.519999999999996
42.54,42.54,41.99,41.99,57838.0,0.5499999999999972
42.29,42.29,41.39,41.46,105194.0,0.8999999999999986
41.48,42.38,41.48,42.06,79955.0,0.9000000000000057
42.3,42.3,41.96,42.07,56224.0,0.3399999999999963
42.3,42.57,42.11,42.37,51321.0,0.46000000000000085
42.35,42.49,41.78,42.04,76600.0,0.7100000000000009
42.0,43.56,42.0,43.56,157234.0,1.5600000000000023
43.58,44.17,43.3,44.17,99821.0,0.8700000000000045
44.51,44.98,44.18,44.98,95313.0,0.7999999999999972
45.36,46.17,45.22,46.11,115706.0,0.9500000000000028
46.01,46.09,45.63,46.05,94804.0,0.46000000000000085
46.19,46.19,45.69,46.0,66760.0,0.5
46.2,46.2,45.6,45.74,44059.0,0.6000000000000014
45.64,46.04,45.57,45.84,65860.0,0.46999999999999886
45.97,45.97,45.25,45.29,69455.0,0.7199999999999989
45.58,45.58,45.17,45.43,49180.0,0.4099999999999966
45.5,45.7,45.37,45.4,43362.0,0.3300000000000054
45.61,45.75,45.3,45.55,49246.0,0.45000000000000284
45.8,46.06,45.37,45.96,65837.0,0.6900000000000048
46.01,46.2,45.61,45.77,45263.0,0.5900000000000034
45.72,45.85,44.79,45.0,59991.0,1.0600000000000023
45.08,45.34,44.76,44.87,55707.0,0.5800000000000054
44.9,45.34,44.89,45.0,43375.0,0.45000000000000284
